type,item_id,config,config_ts,value,name
tsmnode,6777,CfgTsmNodeReg_admin,2021-02-12 22:40:56,TSMADMIN,AIDB2
tsmnode,6777,CfgTsmNodeRegistrationTime,2021-02-12 22:40:56,1470334621,AIDB2
tsmnode,6777,CfgTsmNodeRepl_arrule,2021-02-12 22:40:56,DEFAULT,AIDB2
tsmnode,6777,CfgTsmNodeRepl_bkrule,2021-02-12 22:40:56,DEFAULT,AIDB2
tsmnode,6777,CfgTsmNodeRepl_mode,2021-02-12 22:40:56,SEND,AIDB2
tsmnode,6777,CfgTsmNodeRepl_sprule,2021-02-12 22:40:56,DEFAULT,AIDB2
tsmnode,6777,CfgTsmNodeRepl_state,2021-02-12 22:40:56,ENABLED,AIDB2
tsmnode,6777,CfgTsmNodeReplication_primary_server,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeRole,2021-02-12 22:40:56,SERVER,AIDB2
tsmnode,6777,CfgTsmNodeRole_o,2021-02-12 22:40:56,USEREPORTED,AIDB2
tsmnode,6777,CfgTsmNodeScanerror,2021-02-12 22:40:56,NO,AIDB2
tsmnode,6777,CfgTsmNodeSession_initiation,2021-02-12 22:40:56,ClientOrServer,AIDB2
tsmnode,6777,CfgTsmNodeSession_security,2021-02-12 22:40:56,Transitional,AIDB2
tsmnode,6777,CfgTsmNodeSplit_large_objects,2021-02-12 22:40:56,Yes,AIDB2
tsmnode,6777,CfgTsmNodeSsl_required,2021-02-12 22:40:56,Default,AIDB2
tsmnode,6777,CfgTsmNodeTcp_address,2021-02-12 22:40:56,10.100.3.120,AIDB2
tsmnode,6777,CfgTsmNodeTcp_name,2021-02-12 22:40:56,AIDB2,AIDB2
tsmnode,6777,CfgTsmNodeTotalFileSpaces,2021-02-12 22:40:56,2,AIDB2
tsmnode,6777,CfgTsmNodeTransport_method,2021-02-12 22:40:56,Unknown,AIDB2
tsmnode,6777,CfgTsmNodeTxngroupmax,2021-02-12 22:40:56,0,AIDB2
tsmnode,6777,CfgTsmNodeUrl,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeUtilityurl,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeValidateprotocol,2021-02-12 22:40:56,NO,AIDB2
tsmnode,6780,CfgCollectionInterval,2021-02-12 22:40:56,300,AIDBCLUSTER
tsmnode,6780,CfgName,2021-02-12 22:40:56,AIDBCLUSTER,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeAggregation,2021-02-12 22:40:56,YES,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeArchdelete,2021-02-12 22:40:56,YES,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeAtrisk_interval,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeAtrisk_type,2021-02-12 22:40:56,"",AIDBCLUSTER
